Fire_ID,Fire_Year,Fire_Start,BurnDay,sdd,tssm,avgBio,cc,age,tri,RBR_median,RBR_quant,RBR_cv,FIRE_FINAL,size_class,dc,pyroregion
SLK21_2015_1981,2015,2015-06-28,178,135,43,82.8044128417969,64.7994003295898,101.032333374023,10.5942211151123,439.6147616,528.998940361914,0.410135746,429,1,179.391846854188,1
SLK67_2015_1982,2015,2015-07-15,195,119,76,34.26318359375,29.3597373962402,63.3513145446777,6.32029390335083,294.3413388,490.110664562538,0.605186284,112,1,250.456879857247,1
RED25_2015_1983,2015,2015-07-04,184,98,86,53.5123405456543,45.6282653808594,70.1082000732422,18.8993129730225,346.0367042,433.647998590751,0.367693871,2189,2,220.088774522751,1
NIP19_2015_1984,2015,2015-06-08,158,121,37,41.336296081543,32.3209037780762,73.5960998535156,1.33754110336304,375.7517754,473.424228677115,0.451379061,200,1,102.541291145037,1
SLK36_2015_1985,2015,2015-06-29,179,140,39,47.6270446777344,42.5152473449707,84.2725372314453,4.40708446502686,64.78831156,341.321516025601,1.089484572,110,1,177.205318264397,1
RED11_2015_1986,2015,2015-05-27,146,108,38,84.5282745361328,56.2383613586426,76.4936599731445,9.73652458190918,326.3104514,461.988886895126,0.366143882,147,1,66.4714379298043,1
RED58_2015_1987,2015,2015-07-15,195,118,77,46.3377723693848,46.4356842041016,76.3026809692383,7.5172643661499,172.7441957,351.53378037491,0.5628829,125,1,253.53676198492,1
SLK62_2015_1988,2015,2015-07-15,195,126,69,32.9736137390137,24.5672302246094,59.9816093444824,6.00000047683716,37.20374412,166.874325605626,1.227654219,45,1,234.743069480346,1
SLK41_2015_1989,2015,2015-06-30,180,120,60,66.0592956542969,59.3942108154297,84.8917236328125,3.13258242607117,225.3108627,517.580257560124,0.740150809,125,1,182.182335479455,1
NIP30_2015_1990,2015,2015-06-29,179,137,42,55.8855514526367,48.9104690551758,89.8807907104492,7.17516565322876,163.2644378,349.359452381338,0.645775139,107,1,180.488379279328,1
NIP17_2015_1991,2015,2015-06-22,172,121,51,34.8379249572754,28.9326877593994,66.3705406188965,12.4499053955078,290.0549155,477.958501702375,0.621633947,15827,3,149.810177377382,1
SLK28_2015_1992,2015,2015-06-27,177,140,37,87.014518737793,67.7246398925781,100.771560668945,3.33079409599304,63.73462395,265.779290832386,1.141830444,45,1,164.014558519451,1
RED17_2015_1993,2015,2015-06-18,168,119,49,67.2536926269531,54.634334564209,85.3055267333984,15.0207109451294,428.4828149,548.192730604587,0.314904481,410,1,177.746531499682,1
RED16_2015_1994,2015,2015-06-18,168,115,53,41.1533088684082,33.2636451721191,66.3967704772949,22.899393081665,222.4308116,409.3372750383,0.631682277,2629,2,170.303225531254,1
RED46_2015_1996,2015,2015-07-02,182,99,83,87.4697341918945,65.556037902832,77.8076629638672,14.6574745178223,363.5088047,433.657072084458,0.201202646,333,1,224.082003227102,1
SLK57_2015_1997,2015,2015-07-11,191,116,75,50.5600776672363,50.8867111206055,86.1805801391602,3.20639038085938,71.81838796,365.810242087428,0.973803639,104,1,195.22475852609,1
SLK26_2017_2089,2017,2017-07-27,207,116,91,77.0714569091797,60.5641441345215,91.4187698364258,2.98169541358948,402.1281013,542.358828285554,0.558185458,119,1,276.808583981414,1
NIP99_2017_2094,2017,2017-08-14,225,122,103,48.0934219360352,35.1698608398438,76.1303176879883,25.1684074401855,275.8479847,358.978412665099,0.461464465,531,2,326.274185996666,1
SLK45_2017_1940,2017,2017-07-31,211,109,102,49.6084594726562,48.9165153503418,85.9526138305664,8.34915161132812,263.2438063,454.272147746571,0.523473859,151,1,212.494977025113,1
RED23_2017_1941,2017,2017-07-29,209,85,124,43.4091033935547,42.7643241882324,63.0013809204102,18.364315032959,170.9115498,322.875978206196,0.642282128,1927,2,282.386969569643,1
NIP78_2017_1942,2017,2017-08-08,219,124,95,38.8596153259277,29.6041889190674,88.3761978149414,1.76671814918518,343.4967215,465.961098574458,0.357358187,43,1,331.406998753096,1
NIP37_2017_1945,2017,2017-07-31,211,126,85,73.8274765014648,58.5387268066406,98.1174850463867,13.3685569763184,126.5692335,446.406681116361,1.079511166,3915,2,275.382775551018,1
SLK187_2017_1946,2017,2017-08-18,229,122,107,43.4975090026855,40.1145820617676,82.7246856689453,1,75.76362058,230.59142218807,0.79409796,55,1,304.419844056117,1
SLK8_2017_1947,2017,2017-07-14,194,112,82,28.8281307220459,24.9030628204346,70.3078308105469,13.0158014297485,321.5640403,509.587587989748,0.471866578,505,2,208.856888307407,1
SLK32_2017_1948,2017,2017-07-29,209,107,102,84.2314682006836,65.7542724609375,100.555686950684,5.35901832580566,264.2207404,438.617958494279,0.449736267,230,1,201.941707855632,1
SLK42_2017_1949,2017,2017-07-29,209,105,104,102.899421691895,74.4274215698242,105.377838134766,25.1944808959961,185.7586374,372.56582073282,0.77877444,665,2,281.5630650308,1
SLK36_2017_1950,2017,2017-08-01,212,108,104,95.1431732177734,72.0810394287109,101.671371459961,10.378978729248,83.8948293,199.253199048865,0.708820641,2230,2,295.6446130266,1
SLK129_2017_1951,2017,2017-08-11,222,120,102,38.9653816223145,33.4064903259277,74.5699234008789,8.46581363677979,342.0949568,527.487557799212,0.370213985,120,1,235.744686867953,1
NIP12_2017_1952,2017,2017-07-07,187,124,63,16.6992359161377,14.730450630188,54.3768119812012,1.14845395088196,29.83286174,55.4721222716819,0.464100212,1455,2,161.372340700279,1
NIP40_2017_1953,2017,2017-07-30,210,123,87,104.084701538086,79.3522109985352,100.290222167969,8.42074775695801,132.7484428,486.839630558845,1.065277219,99,1,283.063311953044,1
NIP75_2017_1954,2017,2017-08-11,222,122,100,48.3516387939453,45.1286964416504,94.1175003051758,6.86330127716064,102.5432159,229.335524182899,0.870972872,674,2,355.322869338144,1
NIP46_2017_1955,2017,2017-08-29,240,122,118,60.8081169128418,50.7286338806152,93.0409774780273,5.36468696594238,242.9134123,388.556078894568,0.592410982,208,1,410.685485422069,1
SLK102_2017_1956,2017,2017-08-13,224,121,103,55.9821319580078,48.6241226196289,86.5168380737305,13.1057071685791,234.515281,451.465882707089,0.597369909,397,1,306.513862104027,1
NIP64_2017_1957,2017,2017-08-12,223,132,91,44.7037239074707,34.766242980957,82.3798828125,9.12732410430908,36.76473974,189.323896764722,1.445788145,530,2,316.18180118352,1
SLK115_2017_2023,2017,2017-08-12,223,129,94,88.8885650634766,70.52783203125,98.6048355102539,10.5479021072388,137.6580258,339.818759910398,0.699059188,85,1,300.458121961225,1
NIP32_2017_2024,2017,2017-07-30,210,122,88,44.5946998596191,44.7918395996094,88.6230621337891,11.1457796096802,309.5712553,480.116652715329,0.46639657,168,1,357.534626221145,1
RED34_2017_2025,2017,2017-08-07,218,92,126,58.867374420166,64.5374908447266,77.2778091430664,10.3422727584839,95.73601342,212.443213638625,0.666852355,746,2,260.360542867388,1
SLK200_2017_2026,2017,2017-08-25,236,127,109,69.8427276611328,49.3432159423828,106.7958984375,1.61713397502899,276.0520819,450.139991696948,0.496181726,96,1,383.453816875921,1
